Filename,T,P,HOA,Metal node,M%,UCV,D,ASA,AVAF,Adsorption
DB0-m29_o84_o1470_f0_pts.sym.53,313.0,16.0,6.769638,Fe,2.5,1905.13,0.871819,356.386,0.14792,13.088901
DB0-m2_o6_o16_f0_pcu.sym.104,298.0,1.0,4.329639,Cu,2.94,3055.73,0.422624,679.663,0.41948,2.252109
DB0-m2_o7_o10_f0_pcu.sym.143,338.0,0.26,4.693998,Cu,2.86,2510.38,0.510418,558.883,0.34008,0.424382
DB0-m3_o3_o23_f0_pcu.sym.74,338.0,0.26,3.582316,Zn,2.04,5664.79,0.418363,948.3,0.56136,0.164051
DB1-Zn2O8N2-DPAC_A-irmof20_A_No662,298.0,0.1,5.795129,Zn,1.73,8904.22,0.420635,1577.87,0.47206,0.29568
DB0-m29_o91_o1470_f0_pts.sym.3,338.0,0.26,4.798786,Fe,2.0,2871.68,0.640957,695.259,0.23234,0.480331
DB0-m3_o24_o44_f0_fsc.sym.20,298.0,0.1,7.300574,Zn,2.56,1072.79,1.29923,86.3264,0.02646,0.820759
DB0-m2_o8_o21_f0_pcu.sym.64,313.0,0.4,3.94051,Cu,1.67,3651.17,0.452117,799.121,0.35438,0.697814
DB0-m3_o22_o27_f0_nbo.sym.57,298.0,0.1,4.926337,Zn,2.56,17894.8,0.460435,3658.18,0.42304,0.199549
DB0-m2_o4_o22_f0_nbo.sym.120,313.0,16.0,4.667211,Cu,4.41,5066.71,0.51922,942.448,0.42856,18.95043
DB0-m29_o82_o470_f0_pts.sym.73,313.0,16.0,8.566841,Fe,2.44,2115.46,0.790617,397.18,0.1511,15.956619
DB0-m2_o22_o24_f0_pcu.sym.27,313.0,16.0,3.875126,Cu,2.78,1054.91,1.03207,122.94,0.07118,7.738652
DB0-m2_o12_o20_f0_pcu.sym.21,338.0,3.2,4.042536,Cu,5.0,1421.6,0.669698,300.634,0.287,2.115154
DB0-m3_o12_o13_f0_pcu.sym.77,298.0,0.1,6.733892,Zn,2.7,1487.53,0.782953,215.253,0.11612,0.647711
DB6-cuf_8966,313.0,16.0,4.668984,Cu,2.5,3377.8,0.541555,781.101,0.35444,17.840856
DB0-m9_o3_o23_f0_sra.sym.45,338.0,0.26,5.117706,V,2.5,4168.58,0.641324,748.366,0.23428,0.5361
DB0-m29_o83_o470_f0_pts.sym.6,313.0,16.0,7.514713,Fe,2.44,2407.42,0.647216,473.116,0.27506,19.751408
DB0-m9_o23_o25_f0_sra.sym.123,313.0,0.4,5.253235,V,2.6,3211.32,0.725472,573.196,0.15006,1.81457
DB0-m29_o99_o52_f0_pts.sym.75,313.0,0.4,5.201575,Fe,2.06,2888.9,0.571602,584.389,0.28094,0.910023
DB0-m29_o83_o1510_f0_pts.sym.65,313.0,0.4,4.239075,Fe,1.94,3961.75,0.45079,835.698,0.40546,0.714486
DB0-m2_o11_o24_f0_nbo.sym.132,338.0,0.26,3.271046,Cu,5.13,5180.88,0.462518,1061.58,0.45452,0.148419
DB1-Zn2O8N2-irmof14_A-irmof7_A_No351,338.0,3.2,6.294625,Zn,2.6,4003.89,0.748484,823.719,0.20296,5.804052
DB0-m3_o22_o151_f0_fsc.sym.25,298.0,1.0,5.675832,Zn,2.38,1512.04,0.985536,213.24,0.108,2.197795
